,companyName,Ranking Actual,craftWebsite,imgUrl
46,FedEx,47,https://craft.co/fedex-corporation,https://uploads4.craft.co/uploads/company/logo/21xx/2104/normal_43265946c953a0f0.png
47,MetLife,48,https://craft.co/metlife,https://uploads5.craft.co/uploads/company/logo/20xx/2005/normal_d1dcfa85a753e8e4.jpg
48,Walt Disney,49,https://craft.co/the-walt-disney,
49,Procter & Gamble,50,https://craft.co/procter-gamble,https://uploads1.craft.co/uploads/company/logo/20xx/2068/normal_8ddff36d8abe88a8.png
50,PepsiCo,51,https://craft.co/pepsico,https://uploads1.craft.co/uploads/company/logo/20xx/2037/normal_0uLMDvDn_400x400.jpg
51,Humana,52,https://craft.co/humana,https://uploads2.craft.co/uploads/company/logo/20xx/2061/normal_b92053afbbc6087c.png
52,Prudential Financial,53,https://craft.co/prudential-financial,https://uploads3.craft.co/uploads/company/logo/1568xx/156863/normal_0805945ee814a0d5.jpg
53,Archer Daniels Midland,54,https://craft.co/archer-daniels-midland,https://uploads1.craft.co/uploads/company/logo/1222xx/122248/normal_257c129b9b6464d8.png
54,Albertsons,55,https://craft.co/albertsons,https://uploads2.craft.co/uploads/company/logo/2543xx/254386/normal_a8e0a2701ae54c42.jpg
55,Sysco,56,https://craft.co/sysco-corporation,https://uploads5.craft.co/uploads/company/logo/1220xx/122079/normal_e4a620f4dc6c87ff.jpg
56,Lockheed Martin,57,https://craft.co/lockheed-martin,
57,HP,58,https://craft.co/hp,https://uploads4.craft.co/uploads/company/logo/18xx/1801/normal_c26a5c8423bc9ede.png
58,Energy Transfer,59,https://craft.co/energy-transfer,https://uploads2.craft.co/uploads/company/logo/1967xx/196782/normal_293a99c039395124.jpg
59,Goldman Sachs Group,60,https://craft.co/goldman-sachs,https://uploads3.craft.co/uploads/company/logo/6xx/668/normal_e6223b02f77df06f.png
60,Morgan Stanley,61,https://craft.co/morgan-stanley,https://uploads3.craft.co/uploads/company/logo/6xx/667/normal_741d9b1940ac810e.jpg
61,Caterpillar,62,https://craft.co/caterpillar,https://uploads2.craft.co/uploads/company/logo/18xx/1811/normal_e5cbcdcbb457d60e.png
62,Cisco Systems,63,https://craft.co/cisco,https://uploads1.craft.co/uploads/company/logo/2xx/257/normal_e3b0d0c6e288610f.png
63,Pfizer,64,https://craft.co/pfizer,https://uploads5.craft.co/uploads/company/logo/20xx/2067/normal_e7c66632264feb2f.jpg
64,HCA Healthcare,65,https://craft.co/hca-healthcare,https://uploads2.craft.co/uploads/company/logo/110xx/11087/normal_609c9877fd7512bb.png
65,AIG,66,https://craft.co/aig,https://uploads1.craft.co/uploads/company/logo/1450xx/145038/normal_2f3ef654187826e4.jpeg
66,American Express,67,https://craft.co/american-express,https://uploads5.craft.co/uploads/company/logo/166xx/16640/normal_35b2051d80056a0d.png
67,Delta Air Lines,68,https://craft.co/delta-airlines,https://uploads4.craft.co/uploads/company/logo/19xx/1935/normal_5a5ed1d91ce7eca1.png
68,Merck,69,https://craft.co/merck-%26-co,
69,American Airlines Group,70,https://craft.co/american-airlines,https://uploads2.craft.co/uploads/company/logo/19xx/1930/normal_235100d47d034243.jpg
70,Charter Communications,71,https://craft.co/charter,https://uploads1.craft.co/uploads/company/logo/2xx/256/normal_ad4f42ed0290bade.png
