,companyName,Ranking Actual,craftWebsite,imgUrl
43,State Street,244,https://craft.co/state-street-corporation,https://uploads4.craft.co/uploads/company/logo/440xx/44045/normal_98335d8948ffea1a.jpg
44,Ameriprise Financial,245,https://craft.co/ameriprise-financial,https://uploads5.craft.co/uploads/company/logo/725xx/72502/normal_a33f38ff51e21a6a.png
45,Global Partners,246,https://craft.co/global-partners-lp,https://uploads2.craft.co/uploads/company/logo/104xx/10442/normal_359da4f3237b2fc0.jpg
46,United States Steel,247,https://craft.co/united-states-steel-corporation,https://uploads4.craft.co/uploads/company/logo/1149xx/114908/normal_07dc17645edb13ea.jpg
47,L Brands,248,https://craft.co/l-brands,https://uploads4.craft.co/uploads/company/logo/458xx/45896/normal_a9e1f73fd5fb78d3.jpg
48,MGM Resorts International,249,https://craft.co/mgm-resorts,https://uploads2.craft.co/uploads/company/logo/19xx/1946/normal_7570ab055eb54497.png
49,L3Harris Technologies,250,https://craft.co/l3harris-technologies,https://uploads4.craft.co/uploads/company/logo/18xx/1893/normal_bf2dd84428e626cf.png
50,DISH Network,251,https://craft.co/dish-network,https://uploads4.craft.co/uploads/company/logo/2xx/249/normal_cb0cc24c542384cd.png
51,Lithia Motors,252,https://craft.co/lithia-motors,https://uploads4.craft.co/uploads/company/logo/112xx/11210/normal_bfcfb7010b53ae6d.png
52,DTE Energy,253,https://craft.co/dte-energy,https://uploads1.craft.co/uploads/company/logo/105xx/10525/normal_bf2e29176c4a99d6.jpg
53,American Family Insurance Group,254,https://craft.co/american-family-insurance,https://uploads1.craft.co/uploads/company/logo/627xx/62790/normal_14aa5bbed459ab39.jpeg
54,Farmers Insurance Exchange,255,https://craft.co/farmers-insurance-group,https://uploads2.craft.co/uploads/company/logo/1520xx/152070/normal_4b423bb771ca86c4.jpg
55,Consolidated Edison,256,https://craft.co/con-edison,https://uploads5.craft.co/uploads/company/logo/582xx/58257/normal_f9307efe68f33890.jpg
56,LKQ,257,https://craft.co/lkq,https://uploads2.craft.co/uploads/company/logo/1499xx/149994/normal_0176ca55e3faeed0.jpg
57,Sempra Energy,258,https://craft.co/sempra-energy,https://uploads1.craft.co/uploads/company/logo/1719xx/171928/normal_9c9ce97c8c1b3f0f.png
58,Edison International,259,https://craft.co/edison-international,https://uploads2.craft.co/uploads/company/logo/2083xx/208355/normal_1d274a713104cd41.png
59,CenterPoint Energy,260,https://craft.co/centerpoint-energy,https://uploads3.craft.co/uploads/company/logo/1367xx/136700/normal_b15279756358fec1.jpg
60,Quanta Services,261,https://craft.co/quanta-services,https://uploads1.craft.co/uploads/company/logo/1560xx/156047/normal_a25edf50ecc0c5fd.png
61,Murphy USA,262,https://craft.co/murphy-usa,https://uploads4.craft.co/uploads/company/logo/114xx/11442/normal_47dd22f563997a22.png
62,Expedia Group,263,https://craft.co/expedia-group,https://uploads4.craft.co/uploads/company/logo/19xx/1913/normal_7d345b7916779e84.png
63,Group 1 Automotive,264,https://craft.co/group-1-automotive,https://uploads2.craft.co/uploads/company/logo/446xx/44612/normal_8244a6d273595f5c.png
64,Bed Bath & Beyond,265,https://craft.co/bed-bath-beyond,https://uploads3.craft.co/uploads/company/logo/1941xx/194176/normal_04715dc542bad6d0.jpg
65,Unum Group,266,https://craft.co/unum,https://uploads5.craft.co/uploads/company/logo/119xx/11911/normal_99ea2e3996342fa9.jpeg
66,CSX,267,https://craft.co/csx,https://uploads1.craft.co/uploads/company/logo/1354xx/135447/normal_e992524bbfb0d11c.jpg
67,AutoZone,268,https://craft.co/autozone,https://uploads4.craft.co/uploads/company/logo/1049xx/104917/normal_baa74c8ea9afb428.png
