companyName	Ranking Actual	craftWebsite
Gilead Sciences	140	https://craft.co/gilead-sciences
Southwest Airlines	141	https://craft.co/southwest-airlines
Halliburton	142	https://craft.co/halliburton
CenturyLink	143	https://craft.co/centurylink-cloud
International Paper	144	https://craft.co/international-paper
Eli Lilly	145	https://craft.co/eli-lilly
Aflac	146	https://craft.co/aflac
Lennar	147	https://craft.co/lennar
Occidental Petroleum	148	https://craft.co/occidental-petroleum-corporation
Union Pacific	149	https://craft.co/union-pacific
Rite Aid	150	https://craft.co/rite-aid
PNC Financial Services Group	151	https://craft.co/the-pnc-financial-services-group
DuPont	152	https://craft.co/dupont
Southern	153	https://craft.co/southern-company
AutoNation	154	https://craft.co/autonation
DXC Technology	155	https://craft.co/dxc-technology
McDonald's	156	https://craft.co/mcdonald-s
Marriott International	157	https://craft.co/marriot-international
ManpowerGroup	158	https://craft.co/manpowergroup
Bank of New York Mellon	159	https://craft.co/bny-mellon
Hartford Financial Services Group	160	https://craft.co/the-hartford
Danaher	161	https://craft.co/danaher
Whirlpool	162	https://craft.co/whirlpool
AECOM	163	https://craft.co/aecom
Netflix	164	https://craft.co/netflix
Kohl's	165	https://craft.co/kohls
Lear	166	https://craft.co/lear-corporation
Altria Group	167	https://craft.co/altria-group
Performance Food Group	168	https://craft.co/performance-food-group
Avnet	169	https://craft.co/avnet
Synchrony Financial	170	https://craft.co/synchrony-financial
Genuine Parts	171	https://craft.co/genuine-parts-company
NextEra Energy	172	https://craft.co/nextera-energy
CarMax	173	https://craft.co/carmax
Tenet Healthcare	174	https://craft.co/tenet-healthcare
Kimberly-Clark	175	https://craft.co/kimberly-clark
Emerson Electric	176	https://craft.co/emerson
WestRock	177	https://craft.co/westrock
CDW	178	https://craft.co/cdw
Jones Lang LaSalle	179	https://craft.co/jones-lang-lasalle
Sherwin-Williams	180	https://craft.co/sherwin-williams
Fluor	181	https://craft.co/fluor
PayPal Holdings	182	https://craft.co/paypal
D.R. Horton	183	https://craft.co/r-d-fasteners-inc
HollyFrontier	184	https://craft.co/hollyfrontier-corporation
Tenneco	185	https://craft.co/tenneco
EOG Resources	186	https://craft.co/eog-resources
Becton Dickinson	187	https://craft.co/becton-dickinson
Lincoln National	188	https://craft.co/lincoln-foodservice-products
PG&E	189	https://craft.co/pg-lifelink
salesforce.com	190	https://craft.co/salesforce
Mastercard	191	https://craft.co/mastercard
General Mills	192	https://craft.co/general-mills
Molina Healthcare	193	https://craft.co/molina-healthcare
Cognizant Technology Solutions	194	https://craft.co/cognizant
Marsh & McLennan	195	https://craft.co/marsh-mclennan-comp
XPO Logistics	196	https://craft.co/xpo-logistics
Dominion Energy	197	https://craft.co/dominion-energy
Western Digital	198	https://craft.co/western-digital
Gap	199	https://craft.co/gap
Aramark	200	https://craft.co/aramark
Principal Financial	201	https://craft.co/principal-financial-group
Ross Stores	202	https://craft.co/ross-stores
Colgate-Palmolive	203	https://craft.co/colgate-palmolive
American Electric Power	204	https://craft.co/american-electric-power
Nordstrom	205	https://craft.co/nordstrom
Jacobs Engineering Group	206	https://craft.co/jacobs
Waste Management	207	https://craft.co/waste-management
C.H. Robinson Worldwide	208	https://craft.co/ch-robinson
PPG Industries	209	https://craft.co/ppg-industries
Booking Holdings	210	https://craft.co/booking-holdings
Omnicom Group	211	https://craft.co/omnicom
Loews	212	https://craft.co/loews
Ecolab	213	https://craft.co/ecolab
Stryker	214	https://craft.co/stryker
Estee Lauder	215	https://craft.co/estee-lauder
Goodyear Tire & Rubber	216	https://craft.co/the-goodyear-tire-rubber-company
Truist Financial	217	https://craft.co/truist
Applied Materials	218	https://craft.co/applied-materials
