,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
22,Kroger,23,https://craft.co/kroger,https://uploads1.craft.co/uploads/company/logo/111xx/11101/normal_c9cc03fcee5617fc.jpg,"[((255, 255, 255), 12944), ((7, 61, 147), 1250), ((70, 106, 154), 199), ((134, 179, 200), 6), ((0, 8, 141), 1)]",5
23,Fannie Mae,24,https://craft.co/fannie-mae,https://uploads4.craft.co/uploads/company/logo/1107xx/110720/normal_f10c31f6b6b05985.jpg,"[((254, 254, 254), 3132), ((0, 0, 5), 298), ((103, 103, 113), 170)]",3
24,Bank of America,25,https://craft.co/bank-of-america,https://uploads5.craft.co/uploads/company/logo/6xx/663/normal_e4b4a9e418d3b82e.png,"[((255, 255, 255), 3145), ((227, 25, 50), 299), ((29, 78, 162), 76), ((239, 125, 139), 64), ((125, 150, 199), 16)]",5
25,Home Depot,26,https://craft.co/the-home-depot,https://uploads4.craft.co/uploads/company/logo/110xx/11091/normal_3bca7e0ad9ed430c.jpg,"[((249, 99, 4), 11041), ((255, 252, 243), 2180), ((217, 151, 117), 1170), ((115, 63, 15), 5), ((255, 226, 153), 3), ((120, 109, 105), 1)]",6
26,Phillips 66,27,https://craft.co/phillips-66,https://uploads1.craft.co/uploads/company/logo/2104xx/210442/normal_35e9bfe1728bcdee.jpg,"[((255, 255, 255), 12186), ((220, 38, 25), 1006), ((54, 54, 54), 818), ((185, 106, 101), 195), ((161, 161, 161), 191), ((126, 3, 0), 4)]",6
27,Comcast,28,https://craft.co/comcast,https://uploads5.craft.co/uploads/company/logo/2xx/255/normal_4770083b30a48c868084678343ba534f.jpeg,"[((255, 255, 255), 6005), ((35, 35, 35), 187), ((135, 135, 135), 104), ((210, 133, 123), 24), ((90, 29, 28), 18), ((113, 95, 145), 16), ((255, 190, 124), 13), ((90, 145, 26), 9), ((171, 60, 33), 8), ((224, 183, 225), 7), ((134, 187, 145), 7), ((127, 176, 245), 1), ((193, 170, 30), 1)]",13
28,Anthem,29,https://craft.co/anthem,https://uploads4.craft.co/uploads/company/logo/104xx/10471/normal_e308f06f3aef0f48.jpeg,"[((14, 118, 189), 6058), ((216, 255, 255), 307), ((106, 189, 229), 32), ((50, 94, 105), 3)]",4
29,Wells Fargo,30,https://craft.co/wells-fargo,https://uploads5.craft.co/uploads/company/logo/6xx/664/normal_80df5b861f684fce.jpg,"[((215, 31, 41), 9127), ((255, 206, 67), 2520), ((255, 255, 255), 2317), ((229, 147, 151), 436)]",4
30,Citigroup,31,https://craft.co/citi,https://uploads1.craft.co/uploads/company/logo/6xx/666/normal_CitiBlueWave.jpg,"[((0, 190, 242), 3575), ((1, 72, 136), 2258), ((255, 255, 255), 436), ((235, 28, 38), 104), ((166, 74, 97), 27)]",5
31,Valero Energy,32,https://craft.co/valero-energy,https://uploads1.craft.co/uploads/company/logo/118xx/11886/normal_bfe603b7430f90d6.png,"[((0, 98, 128), 1005), ((250, 178, 23), 93), ((91, 127, 90), 40), ((165, 151, 59), 11), ((0, 59, 179), 2)]",5
